season,round,race_name,driver_id,constructor_id,qualifying_position,q1_time,q2_time,q3_time
2026,1,Australian Grand Prix,russell,mercedes,1,1:19.507,1:18.934,1:18.518
2026,1,Australian Grand Prix,antonelli,mercedes,2,1:20.120,1:19.435,1:18.811
2026,1,Australian Grand Prix,hadjar,red_bull,3,1:20.023,1:19.653,1:19.303
2026,1,Australian Grand Prix,leclerc,ferrari,4,1:20.226,1:19.357,1:19.327
2026,1,Australian Grand Prix,piastri,mclaren,5,1:19.664,1:19.525,1:19.380
2026,1,Australian Grand Prix,norris,mclaren,6,1:20.010,1:19.882,1:19.475
2026,1,Australian Grand Prix,hamilton,ferrari,7,1:19.811,1:19.921,1:19.478
2026,1,Australian Grand Prix,lawson,rb,8,1:20.491,1:20.144,1:19.994
2026,1,Australian Grand Prix,arvid_lindblad,rb,9,1:20.409,1:19.971,1:21.247
2026,1,Australian Grand Prix,bortoleto,audi,10,1:20.495,1:20.221,
2026,1,Australian Grand Prix,hulkenberg,audi,11,1:21.024,1:20.303,
2026,1,Australian Grand Prix,bearman,haas,12,1:21.247,1:20.311,
2026,1,Australian Grand Prix,ocon,haas,13,1:20.759,1:20.491,
2026,1,Australian Grand Prix,gasly,alpine,14,1:21.138,1:20.501,
2026,1,Australian Grand Prix,albon,williams,15,1:21.051,1:20.941,
2026,1,Australian Grand Prix,colapinto,alpine,16,1:21.200,1:21.270,
2026,1,Australian Grand Prix,alonso,aston_martin,17,1:21.969,,
2026,1,Australian Grand Prix,perez,cadillac,18,1:22.605,,
2026,1,Australian Grand Prix,bottas,cadillac,19,1:23.244,,
2026,2,Chinese Grand Prix,antonelli,mercedes,1,1:33.305,1:32.443,1:32.064
2026,2,Chinese Grand Prix,russell,mercedes,2,1:33.262,1:32.523,1:32.286
2026,2,Chinese Grand Prix,hamilton,ferrari,3,1:33.522,1:32.567,1:32.415
2026,2,Chinese Grand Prix,leclerc,ferrari,4,1:33.175,1:32.486,1:32.428
2026,2,Chinese Grand Prix,piastri,mclaren,5,1:33.590,1:33.130,1:32.550
2026,2,Chinese Grand Prix,norris,mclaren,6,1:33.535,1:32.910,1:32.608
2026,2,Chinese Grand Prix,gasly,alpine,7,1:33.788,1:33.003,1:32.873
2026,2,Chinese Grand Prix,max_verstappen,red_bull,8,1:33.417,1:33.098,1:33.002
2026,2,Chinese Grand Prix,hadjar,red_bull,9,1:33.632,1:33.352,1:33.121
2026,2,Chinese Grand Prix,bearman,haas,10,1:33.687,1:33.197,1:33.292
2026,2,Chinese Grand Prix,hulkenberg,audi,11,1:34.116,1:33.354,
2026,2,Chinese Grand Prix,colapinto,alpine,12,1:33.634,1:33.357,
2026,2,Chinese Grand Prix,ocon,haas,13,1:33.974,1:33.538,
2026,2,Chinese Grand Prix,lawson,rb,14,1:34.139,1:33.765,
2026,2,Chinese Grand Prix,arvid_lindblad,rb,15,1:33.906,1:33.784,
2026,2,Chinese Grand Prix,bortoleto,audi,16,1:33.549,1:33.965,
2026,2,Chinese Grand Prix,sainz,williams,17,1:34.317,,
2026,2,Chinese Grand Prix,albon,williams,18,1:34.772,,
2026,2,Chinese Grand Prix,alonso,aston_martin,19,1:35.203,,
2026,2,Chinese Grand Prix,bottas,cadillac,20,1:35.436,,
2026,2,Chinese Grand Prix,stroll,aston_martin,21,1:35.995,,
2026,2,Chinese Grand Prix,perez,cadillac,22,1:36.906,,
2026,3,Japanese Grand Prix,antonelli,mercedes,1,1:30.035,1:29.048,1:28.778
2026,3,Japanese Grand Prix,russell,mercedes,2,1:29.967,1:29.686,1:29.076
2026,3,Japanese Grand Prix,piastri,mclaren,3,1:30.200,1:29.451,1:29.132
2026,3,Japanese Grand Prix,leclerc,ferrari,4,1:29.915,1:29.303,1:29.405
2026,3,Japanese Grand Prix,norris,mclaren,5,1:30.401,1:29.795,1:29.409
2026,3,Japanese Grand Prix,hamilton,ferrari,6,1:30.309,1:29.589,1:29.567
2026,3,Japanese Grand Prix,gasly,alpine,7,1:30.584,1:29.874,1:29.691
2026,3,Japanese Grand Prix,hadjar,red_bull,8,1:30.662,1:30.104,1:29.978
2026,3,Japanese Grand Prix,bortoleto,audi,9,1:30.359,1:29.990,1:30.274
2026,3,Japanese Grand Prix,arvid_lindblad,rb,10,1:30.781,1:30.109,1:30.319
2026,3,Japanese Grand Prix,max_verstappen,red_bull,11,1:30.519,1:30.262,
2026,3,Japanese Grand Prix,ocon,haas,12,1:30.915,1:30.309,
2026,3,Japanese Grand Prix,hulkenberg,audi,13,1:30.358,1:30.387,
2026,3,Japanese Grand Prix,lawson,rb,14,1:30.657,1:30.495,
