season,round,race_name,air_temp_mean,air_temp_max,track_temp_mean,track_temp_max,humidity_mean,wind_speed_mean,rained_during_race,rain_fraction_of_race
2018,1,Australian Grand Prix,24.1,24.8,36.3,38.9,30.9,3.7,1.0,0.05
2018,2,Bahrain Grand Prix,28.0,28.3,32.2,33.5,47.4,1.0,0.0,0.0
2018,3,Chinese Grand Prix,19.4,20.2,37.0,39.0,24.1,1.8,1.0,0.02
2018,4,Azerbaijan Grand Prix,16.7,17.2,25.3,28.0,45.7,2.2,0.0,0.0
2018,5,Spanish Grand Prix,16.1,17.1,32.3,36.7,52.3,2.0,1.0,0.79
2018,6,Monaco Grand Prix,26.6,27.6,34.6,37.0,50.9,1.4,1.0,0.12
2018,7,Canadian Grand Prix,20.5,21.3,36.9,42.1,27.8,2.5,0.0,0.0
2018,8,French Grand Prix,24.5,25.6,42.0,45.2,49.0,1.8,1.0,0.01
2018,9,Austrian Grand Prix,23.2,24.2,45.9,48.6,37.1,2.5,0.0,0.0
2018,10,British Grand Prix,27.4,28.6,52.2,54.1,38.7,1.5,0.0,0.0
2018,11,German Grand Prix,26.4,27.9,40.7,45.5,54.8,2.0,1.0,0.26
2018,12,Hungarian Grand Prix,33.8,34.9,51.1,57.0,33.0,1.1,0.0,0.0
2018,13,Belgian Grand Prix,17.3,18.3,27.9,30.8,37.7,2.0,0.0,0.0
2018,14,Italian Grand Prix,22.2,23.0,30.8,34.4,63.8,2.1,1.0,0.23
2018,15,Singapore Grand Prix,29.9,30.3,33.1,34.2,66.0,2.0,0.0,0.0
2018,16,Russian Grand Prix,24.8,26.0,29.9,32.3,61.3,2.0,1.0,0.02
2018,17,Japanese Grand Prix,28.3,29.2,37.2,40.1,50.5,1.8,0.0,0.0
2018,18,United States Grand Prix,21.9,23.4,30.5,32.4,37.6,2.1,0.0,0.0
2018,19,Mexican Grand Prix,20.1,21.7,34.5,38.6,50.7,1.6,0.0,0.0
2018,20,Brazilian Grand Prix,23.8,25.2,40.1,44.9,75.4,2.2,0.0,0.0
2018,21,Abu Dhabi Grand Prix,31.3,33.2,33.3,35.7,45.4,2.2,1.0,0.04
2019,1,Australian Grand Prix,23.5,24.1,41.3,45.0,70.5,1.2,0.0,0.0
2019,2,Bahrain Grand Prix,26.2,26.6,28.6,29.5,53.4,2.7,0.0,0.0
2019,3,Chinese Grand Prix,19.3,19.8,27.3,30.6,46.0,3.3,0.0,0.0
2019,4,Azerbaijan Grand Prix,19.8,21.0,39.7,43.6,51.4,1.2,0.0,0.0
2019,5,Spanish Grand Prix,20.1,21.2,40.7,42.4,54.7,1.9,0.0,0.0
2019,6,Monaco Grand Prix,22.8,24.0,32.7,35.3,52.7,0.9,1.0,0.63
2019,7,Canadian Grand Prix,29.4,30.9,51.1,52.6,16.1,1.3,0.0,0.0
2019,8,French Grand Prix,26.9,27.9,54.5,57.2,39.1,1.7,0.0,0.0
2019,9,Austrian Grand Prix,34.4,35.3,50.7,51.9,18.0,1.2,0.0,0.0
2019,10,British Grand Prix,18.9,20.2,30.3,35.6,62.1,2.0,0.0,0.0
2019,11,German Grand Prix,21.5,22.1,26.4,27.3,87.8,1.0,1.0,0.97
2019,12,Hungarian Grand Prix,25.7,27.0,44.1,48.5,33.9,1.2,0.0,0.0
2019,13,Belgian Grand Prix,17.4,18.2,28.1,30.7,57.0,2.0,0.0,0.0
2019,14,Italian Grand Prix,21.1,22.1,33.0,36.1,51.6,1.6,0.0,0.0
2019,15,Singapore Grand Prix,30.0,30.3,35.8,37.5,66.5,1.9,0.0,0.0
2019,16,Russian Grand Prix,22.0,23.2,34.3,35.7,67.4,1.9,1.0,0.01
2019,17,Japanese Grand Prix,21.6,22.1,32.2,39.5,57.5,5.5,0.0,0.0
2019,18,Mexican Grand Prix,23.2,24.6,41.6,46.6,46.3,1.3,0.0,0.0
2019,19,United States Grand Prix,21.5,22.1,29.1,31.3,29.2,2.6,0.0,0.0
2019,20,Brazilian Grand Prix,21.0,21.6,46.5,50.4,60.3,1.3,0.0,0.0
2019,21,Abu Dhabi Grand Prix,26.0,27.6,29.6,33.1,64.5,1.3,0.0,0.0
2020,1,Austrian Grand Prix,28.7,30.0,52.0,55.6,33.8,1.9,0.0,0.0
2020,2,Styrian Grand Prix,20.8,22.1,39.9,43.7,34.0,2.2,1.0,0.02
2020,3,Hungarian Grand Prix,20.7,21.8,27.1,30.2,77.2,1.6,1.0,0.01
2020,4,British Grand Prix,21.3,22.1,40.6,43.3,44.2,3.1,0.0,0.0
2020,5,70th Anniversary Grand Prix,25.3,26.8,43.2,45.1,58.6,2.2,0.0,0.0
2020,6,Spanish Grand Prix,29.8,30.7,47.6,50.3,56.4,1.5,0.0,0.0
2020,7,Belgian Grand Prix,18.6,20.1,29.8,32.2,54.9,1.5,0.0,0.0
2020,8,Italian Grand Prix,28.1,28.9,41.2,45.5,40.1,1.5,0.0,0.0
2020,9,Tuscan Grand Prix,30.2,30.7,43.1,45.8,39.9,2.4,0.0,0.0
2020,10,Russian Grand Prix,28.8,30.5,40.3,42.0,51.4,1.4,0.0,0.0
2020,11,Eifel Grand Prix,9.5,9.9,16.4,19.1,59.4,1.6,1.0,0.02
2020,12,Portuguese Grand Prix,20.5,21.0,25.7,27.5,67.5,4.0,0.0,0.0
2020,13,Emilia Romagna Grand Prix,18.0,18.5,23.3,24.6,71.1,1.3,0.0,0.0
2020,14,Turkish Grand Prix,13.1,13.8,15.2,16.9,80.2,1.1,1.0,0.04
2020,15,Bahrain Grand Prix,25.1,26.6,27.5,30.0,67.8,0.8,0.0,0.0
2020,16,Sakhir Grand Prix,20.9,22.0,23.5,24.9,58.2,1.9,0.0,0.0
2020,17,Abu Dhabi Grand Prix,23.1,23.7,28.0,31.3,55.4,2.5,0.0,0.0
2021,1,Bahrain Grand Prix,20.5,20.9,27.6,30.2,54.5,0.9,0.0,0.0
2021,2,Emilia Romagna Grand Prix,10.6,12.3,16.8,18.6,69.5,0.5,1.0,0.41
2021,3,Portuguese Grand Prix,19.4,20.0,39.0,40.6,39.4,0.8,0.0,0.0
2021,4,Spanish Grand Prix,22.2,23.5,32.9,36.2,57.6,0.5,0.0,0.0
2021,5,Monaco Grand Prix,20.8,21.5,37.6,43.4,61.4,0.3,0.0,0.0
